id,country,income,gender
849,China,$555777.65,Female
850,China,$448505.05,Female
851,Russia,$2948229.05,Female
852,China,$650583.34,Male
853,China,$2949148.80,Male
854,Czech Republic,$4331646.81,Female
855,Thailand,$3697920.57,Male
856,Ethiopia,$675896.95,Female
857,Ireland,$1040082.13,Female
858,Indonesia,$1012748.94,Male
859,Luxembourg,$5583198.94,Male
860,Colombia,$5543830.53,Female
861,Indonesia,$7670701.02,Female
862,United States,$5672589.28,Female
863,Poland,$3237573.76,Male
864,Papua New Guinea,$1456467.56,Male
865,Syria,$2817705.74,Male
866,Portugal,$9180166.79,Female
867,Czech Republic,$1359793.16,Female
868,Chile,$6043509.58,Male
869,Poland,$9360889.96,Female
870,Indonesia,$6619143.80,Male
871,Portugal,$897008.81,Male
872,Greece,$9579713.90,Female
873,Brazil,$6777146.21,Male
874,Cameroon,$4478627.63,Male
875,Egypt,$8184657.63,Female
876,Greece,$9284169.87,Female
877,Indonesia,$9376415.56,Female
878,Nigeria,$4199266.89,Male
879,Brazil,$8040625.31,Male
880,Russia,$9037727.34,Female
881,Peru,$3923290.69,Male
882,Netherlands,$548378.77,Male
883,Sweden,$4264285.03,Male
884,Portugal,$9521237.49,Female
885,Thailand,$4932960.89,Male
886,Belarus,$793938.53,Male
887,China,$475841.90,Female
888,Thailand,$4639499.97,Female
889,Indonesia,$5965612.90,Male
890,Colombia,$6194745.47,Male
891,Indonesia,$7639229.86,Female
892,France,$3665123.16,Female
893,Indonesia,$5094690.70,Female
894,Ethiopia,$5017896.14,Male
895,China,$6869119.91,Male
896,Philippines,$4964663.52,Male
897,Ivory Coast,$919256.11,Female
898,Albania,$3774857.72,Female
899,Palestinian Territory,$7131263.01,Male
900,United States,$3944720.48,Female
901,South Africa,$782223.95,Female
902,Czech Republic,$9052399.90,Male
903,United States,$229566.27,Female
904,Poland,$4883733.03,Female
905,Japan,$9636554.34,Male
906,Portugal,$4813281.97,Female
907,China,$403757.25,Male
908,Sweden,$6791613.38,Female
909,China,$2348166.85,Male
910,China,$4368861.56,Male
911,China,$3294724.71,Female
912,Peru,$4606051.92,Female
913,Paraguay,$9454106.19,Male
914,Syria,$3126860.67,Male
915,Nigeria,$8311966.76,Male
916,China,$2811880.20,Male
917,Indonesia,$5186328.97,Male
918,Bangladesh,$4714718.17,Female
919,China,$8424063.56,Male
920,Poland,$7992778.65,Male
921,China,$4024178.64,Male
922,Philippines,$6609457.61,Female
923,Portugal,$6848262.20,Male
924,China,$3247008.86,Male
925,Lithuania,$1064627.92,Male
926,United States,$6161335.24,Male
927,Poland,$102504.38,Female
928,France,$7773628.67,Female
929,China,$2046315.36,Female
930,United States,$1470421.89,Female
931,Greece,$7422249.96,Female
932,Kenya,$447198.26,Female
933,Indonesia,$6410808.84,Male
934,Brazil,$8928043.26,Female
935,Sweden,$6368282.41,Male
936,China,$1439216.07,Female
937,China,$4094475.70,Female
938,Argentina,$5701519.97,Female
939,Uzbekistan,$201599.91,Male
940,Vietnam,$5469827.04,Male
941,Jordan,$7854370.17,Female
942,Philippines,$1352857.71,Female
943,United States,$1725740.01,Female
944,Afghanistan,$7830789.72,Female
945,China,$4321375.95,Female
946,Indonesia,$6106485.08,Female
947,China,$738187.39,Female
948,Philippines,$4118811.26,Female
949,Russia,$3297827.19,Male
950,Latvia,$6454114.94,Male
951,Canada,$9897576.07,Male
952,China,$7059953.34,Male
953,Jordan,$1928262.13,Female
954,Indonesia,$823649.73,Female
955,Guatemala,$8919110.65,Male
956,Poland,$7177778.90,Male
957,Aland Islands,$6654427.72,Male
958,Poland,$4396874.63,Female
959,Poland,$8958274.10,Male
960,Czech Republic,$4456298.37,Male
961,Netherlands,$2121102.90,Male
962,Indonesia,$9747849.73,Female
963,Czech Republic,$6060635.84,Female
964,Nigeria,$5504796.62,Male
965,New Caledonia,$1765020.79,Male
966,China,$7086765.36,Male
967,Brazil,$6370593.89,Female
968,Poland,$4763025.37,Female
969,Sweden,$6243897.81,Male
970,Rwanda,$3529101.12,Male
971,Norway,$6062037.62,Female
972,Croatia,$9389403.42,Male
973,Poland,$8155305.63,Male
974,China,$4374624.05,Female
975,Brazil,$7641799.15,Female
976,Indonesia,$4626743.40,Female
977,Lithuania,$269489.27,Male
978,Indonesia,$2712844.72,Female
979,China,$2548579.57,Male
980,Germany,$6334977.46,Female
981,Egypt,$7174694.02,Female
982,Ireland,$1137305.87,Male
983,United States,$3105697.90,Male
984,South Africa,$8703995.08,Male
985,China,$2809269.34,Male
986,Venezuela,$980555.89,Female
987,Philippines,$7998023.70,Female
988,Russia,$6997324.30,Male
989,Canada,$6248228.48,Female
990,Haiti,$5717000.64,Male
991,Brazil,$2564943.44,Female
992,Indonesia,$2320114.58,Female
993,Indonesia,$7381015.23,Female
994,Portugal,$8235355.26,Male
995,Philippines,$4846469.06,Female
996,Japan,$4641250.51,Female
997,Russia,$6099340.41,Male
998,Australia,$2205453.29,Male
999,Ethiopia,$4307522.17,Female
1000,Nigeria,$8631102.54,Male
